id	income_mean
alor-gajah	7050
asajaya	4316
bachok	4728
bagan-datuk	5705
baling	4313
bandar-baharu	4959
barat-daya	8393
batang-padang	5637
batu-pahat	7392
bau	5183
beaufort	4861
belaga	4229
beluran	3907
beluru	4119
bentong	5300
bera	4566
besut	5819
betong	3962
bintulu	8324
bukit-mabong	4665
cameron-highlands	6576
dalat	4790
daro	3712
dungun	7564
gombak	11536
gua-musang	4009
hilir-perak	4783
hulu-perak	4554
hulu-terengganu	5363
jasin	7340
jelebu	5414
jeli	3872
jempol	4926
jerantut	4452
johor-bahru	9315
julau	3506
kabong	3294
kalabakan	4938
kampar	4845
kanowit	3480
kapit	4344
kecil-lojing	3002
kemaman	7854
keningau	5445
kerian	5532
kinabatangan	5128
kinta	6120
klang	9980
kluang	5953
kota-belud	4382
kota-bharu	5577
kota-kinabalu	7665
kota-marudu	3771
kota-setar	5773
kota-tinggi	6982
kuala-kangsar	5156
kuala-krai	3979
kuala-langat	8375
kuala-muda	5656
kuala-nerus	7647
kuala-penyu	4275
kuala-pilah	5040
kuala-selangor	7866
kuala-terengganu	6691
kuantan	7071
kubang-pasu	6291
kuching	7376
kudat	3966
kulai	8602
kulim	5476
kunak	5194
lahad-datu	5681
langkawi	6737
larut-dan-matang	5364
lawas	5288
limbang	5989
lipis	4504
lubok-antu	3905
lundu	4428
machang	4841
manjung	6137
maradong	4091
maran	4678
marang	5928
marudi	4605
matu	3901
melaka-tengah	8100
mersing	4937
miri	7235
muallim	5488
muar	7540
mukah	5447
nabawan	4443
padang-terap	4781
pakan	3175
papar	5733
pasir-mas	4745
pasir-puteh	4688
pekan	5026
penampang	6570
pendang	4680
perak-tengah	5390
perlis	5476
petaling	12145
pitas	3378
pokok-sena	5046
pontian	6776
port-dickson	6393
pusa	2758
putatan	6471
ranau	4756
raub	5005
rembau	5163
rompin	4641
sabak-bernam	6042
samarahan	6789
sandakan	6020
saratok	4202
sarikei	4609
sebauh	4202
seberang-perai-selatan	6843
seberang-perai-tengah	7457
seberang-perai-utara	6914
segamat	6431
selama	4439
selangau	3588
semporna	5933
sepang	12254
seremban	7611
serian	4878
setiu	5600
sibu	6140
sik	4960
simunjan	3833
sipitang	5271
song	3443
sri-aman	4621
subis	5528
tambunan	4826
tampin	5786
tanah-merah	4338
tangkak	6659
tanjung-manis	3849
tatau	5345
tawau	6212
tebedu	3439
telang-usan	4415
telupid	4762
temerloh	5205
tenom	4734
timur-laut	8493
tongod	3364
tuaran	5050
tumpat	4838
ulu-langat	10252
ulu-selangor	7598
w.p.-kuala-lumpur	13257
w.p.-labuan	8319
w.p.-putrajaya	12840
yan	4397
